date,team_a,team_b,p1,pn,p2,pick
2026-06-12,Canada,Bosnia and Herzegovina,0.6851,0.2031,0.1119,1
2026-06-12,United States,Paraguay,0.3981,0.2911,0.3108,1
2026-06-13,Qatar,Switzerland,0.0750,0.1547,0.7703,2
2026-06-13,Brazil,Morocco,0.4740,0.2744,0.2517,1
2026-06-13,Haiti,Scotland,0.2684,0.2683,0.4632,2
2026-06-13,Australia,Turkey,0.3183,0.2781,0.4036,2
2026-06-11,Mexico,South Africa,0.7797,0.1549,0.0655,1
2026-06-11,South Korea,Czech Republic,0.4573,0.2722,0.2705,1
