date,team_a,team_b,p1,pn,p2,pick
2026-06-12,Canada,Bosnia and Herzegovina,0.5386,0.2551,0.2063,1
2026-06-13,Haiti,Scotland,0.1489,0.2068,0.6443,2
2026-06-13,Brazil,Morocco,0.5841,0.2391,0.1768,1
2026-06-13,Australia,Turkey,0.2140,0.2568,0.5292,2
2026-06-11,Mexico,South Africa,0.6702,0.2112,0.1185,1
2026-06-11,South Korea,Czech Republic,0.3585,0.3067,0.3348,1
2026-06-12,United States,Paraguay,0.4775,0.2817,0.2408,1
2026-06-13,Qatar,Switzerland,0.0838,0.1592,0.7570,2
