tournament,date,home,away,p1,pn,p2,outcome,pick,hit,logloss
CAN 2025,2025-12-30,Benin,Senegal,0.0857,0.1740,0.7403,2,2,1,0.3007
CAN 2025,2025-12-30,Botswana,DR Congo,0.0956,0.1868,0.7176,2,2,1,0.3318
CAN 2025,2025-12-30,Uganda,Nigeria,0.1453,0.2283,0.6264,2,2,1,0.4678
CAN 2025,2025-12-30,Tanzania,Tunisia,0.0950,0.1915,0.7135,N,2,0,1.6529
CAN 2025,2025-12-31,Gabon,Ivory Coast,0.1717,0.2422,0.5861,2,2,1,0.5343
CAN 2025,2025-12-31,Mozambique,Cameroon,0.1998,0.2549,0.5453,2,2,1,0.6064
CAN 2025,2025-12-31,Equatorial Guinea,Algeria,0.0607,0.1398,0.7995,2,2,1,0.2238
CAN 2025,2025-12-31,Sudan,Burkina Faso,0.1821,0.2485,0.5694,2,2,1,0.5631
CAN 2025,2026-01-03,Senegal,Sudan,0.8184,0.1308,0.0508,1,1,1,0.2004
CAN 2025,2026-01-03,Mali,Tunisia,0.3398,0.2922,0.3680,N,2,0,1.2304
CAN 2025,2026-01-04,Morocco,Tanzania,0.9093,0.0719,0.0188,1,1,1,0.0951
CAN 2025,2026-01-04,South Africa,Cameroon,0.3371,0.2886,0.3744,2,2,1,0.9825
CAN 2025,2026-01-05,Egypt,Benin,0.5739,0.2471,0.1790,1,1,1,0.5554
CAN 2025,2026-01-05,Nigeria,Mozambique,0.6690,0.2066,0.1244,1,1,1,0.4020
CAN 2025,2026-01-06,Ivory Coast,Burkina Faso,0.4182,0.2821,0.2997,1,1,1,0.8719
CAN 2025,2026-01-06,Algeria,DR Congo,0.4795,0.2691,0.2513,1,1,1,0.7350
CAN 2025,2026-01-09,Mali,Senegal,0.1835,0.2525,0.5640,2,2,1,0.5727
CAN 2025,2026-01-09,Morocco,Cameroon,0.6949,0.2020,0.1031,1,1,1,0.3640
CAN 2025,2026-01-10,Algeria,Nigeria,0.4515,0.2720,0.2766,2,1,0,1.2853
CAN 2025,2026-01-10,Egypt,Ivory Coast,0.3270,0.2892,0.3838,1,2,0,1.1177
CAN 2025,2026-01-14,Senegal,Egypt,0.5188,0.2654,0.2158,1,1,1,0.6563
CAN 2025,2026-01-14,Morocco,Nigeria,0.5871,0.2470,0.1659,N,1,0,1.3982
CAN 2025,2026-01-17,Egypt,Nigeria,0.2760,0.2790,0.4449,N,2,0,1.2764
CAN 2025,2026-01-18,Morocco,Senegal,0.4559,0.2865,0.2576,1,1,1,0.7856
