date,team_a,team_b,p1,pn,p2,pick
2026-06-13,Qatar,Switzerland,0.0750,0.1547,0.7703,2
2026-06-13,Brazil,Morocco,0.4501,0.2788,0.2711,1
2026-06-13,Haiti,Scotland,0.2349,0.2597,0.5054,2
2026-06-13,Australia,Turkey,0.3182,0.2781,0.4037,2
